deck,Undead Priest,Unholy Death Knight,Pure Paladin,Blood Death Knight,Frost Death Knight,Other Rogue,Control Priest,Burn Mage,Thaddius Warlock,Spooky Mage,Totem Shaman,Big Beast Hunter,Rainbow Death Knight,Face Hunter,Silver Hand Paladin,Riff 'n' Roll Warrior,Enrage Warrior,Thief Priest,Big Demon Hunter,Other Mage,Curse Warlock,Fatigue Imp Warlock,Other Death Knight,Other Priest,Mech Paladin,Zok Druid,Curse Imp Warlock,Miracle Rogue,Mech Mage,Dagger Rogue,Other Warrior,Other Warlock,Other Druid,Casino Mage,Relic Demon Hunter,Secret Rogue,Lightshow Mage
Totem Shaman,52.74,62.02,49.96,53.44,41.66,66.16,49.92,59.89,64.89,59.23,50.0,66.15,90.61,50.83,62.53,72.99,61.9,48.44,64.0,88.15,55.83,52.56,73.93,69.72,48.7,82.56,64.0,60.0,59.05,69.15,78.8,72.72,88.88,71.49,59.89,71.75,79.39
Big Beast Hunter,29.23,40.93,24.11,38.63,31.56,53.3,50.93,42.6,39.84,44.26,33.84,50.0,68.0,25.66,41.79,51.14,38.46,44.92,43.34,72.72,49.31,38.34,65.38,50.8,30.97,61.38,38.79,43.25,36.65,45.6,69.54,54.14,62.22,66.36,47.36,57.57,63.79
Rainbow Death Knight,11.15,18.69,10.86,14.39,11.85,24.28,17.56,18.72,18.28,16.75,9.38,31.99,50.0,14.21,24.92,20.34,20.87,15.52,22.38,70.66,26.03,21.07,55.15,33.47,9.31,18.18,20.79,19.18,11.67,29.28,43.38,37.18,31.81,29.34,14.2,24.21,31.6
Face Hunter,53.33,62.03,51.7,44.38,52.14,72.53,52.74,66.34,57.97,60.29,49.16,74.33,85.78,50.0,69.03,62.05,57.27,53.15,60.28,89.18,59.24,68.88,84.15,72.22,54.14,79.8,60.61,62.26,55.8,69.03,71.72,81.61,79.31,83.33,62.87,70.45,81.08
Silver Hand Paladin,40.69,45.8,34.44,36.04,31.35,54.5,47.06,38.27,48.15,36.0,37.46,58.2,75.07,30.96,50.0,65.1,47.4,48.88,43.4,79.27,48.41,50.57,74.3,67.72,48.04,68.9,43.47,40.62,40.75,47.29,72.54,67.48,78.57,70.73,33.63,56.18,62.87
Riff 'n' Roll Warrior,31.47,48.26,18.89,44.91,42.09,54.62,47.1,54.86,46.49,62.23,27.0,48.85,79.65,37.94,34.89,50.0,41.6,47.36,51.26,72.03,61.02,31.98,66.51,58.18,25.36,57.21,42.28,49.09,34.18,60.81,72.34,72.48,66.0,70.12,51.03,40.17,63.51
Enrage Warrior,36.73,57.11,37.25,50.5,50.43,59.2,48.43,66.59,43.47,70.51,38.09,61.53,79.12,42.72,52.59,58.39,50.0,52.99,54.34,86.41,64.9,47.55,79.43,60.56,33.8,70.28,51.64,50.56,50.0,56.57,69.33,65.68,78.83,81.66,60.93,52.14,72.72
Thief Priest,40.12,60.87,42.16,55.48,39.78,56.97,56.17,47.75,48.26,41.69,51.55,55.07,84.47,46.84,51.11,52.63,47.0,50.0,46.37,75.0,45.19,45.55,78.89,65.15,42.94,37.41,40.55,61.21,47.65,46.93,75.14,73.01,64.42,54.91,38.8,43.47,50.0
Big Demon Hunter,40.46,54.95,38.67,53.81,49.93,63.73,58.69,51.28,41.01,52.52,36.0,56.65,77.61,39.71,56.59,48.73,45.65,53.62,50.0,79.81,71.21,50.0,68.51,58.75,34.65,58.37,48.31,54.4,43.63,50.56,70.07,66.44,63.23,69.06,53.57,50.44,73.98
Other Mage,12.7,27.85,10.95,18.32,17.73,25.82,26.73,18.29,25.66,17.53,11.84,27.27,28.66,10.27,20.2,27.96,13.58,25.0,19.71,50.0,29.88,20.76,63.73,38.94,19.44,22.27,12.5,17.03,16.15,20.96,32.01,37.66,38.46,31.28,18.86,24.8,22.88
